"business_id","name","address","date","last_updated","city","state","latitude","longitude","Major_Violation_Improper_Holding_Temperature","Minor_Violation_Improper_Holding_Temperature","Major_Violation_Inadequate_Cooking","Minor_Violation_Inadequate_Cooking","Major_Violation_Personal_Hygiene","Minor_Violation_Personal_Hygiene","Major_Violation_Contaminated_Equipment","Minor_Violation_Contaminated_Equipment","Major_Violation_Unsafe_Food_Source","Minor_Violation_Unsafe_Food_Source"
"FA0000561","TOMATE CAFE","2265 FIFTH ST","01/14/2016","05/16/2016 05:00:02 AM","Berkeley","CA","37.8636","-122.297484",0,0,0,0,0,0,0,0,0,0
"FA0001552","FACE TO FACE","2109 MILVIA ST","12/28/2015","05/16/2016 05:00:03 AM","Berkeley","CA","37.870688","-122.270619",0,1,0,0,0,0,0,0,0,0
"FA0001602","SHARE TIME","1938 SHATTUCK AVE","02/02/2016","05/16/2016 05:00:03 AM","Berkeley","CA","37.873073","-122.268549",0,0,0,0,0,0,0,1,0,0
"FA0000647","SO. BERKELEY COMMUNITY CHURCH","1802 FAIRVIEW ST","10/01/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.850436","-122.272589",0,0,0,0,0,0,0,0,0,0
"FA0000620","REVIVAL BAR & KITCHEN","2102 SHATTUCK AVE","07/08/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.871129","-122.268282",0,0,0,0,0,0,0,1,0,0
"FA0001465","SALT AND HONEY LLC","1451 5TH ST","09/01/2015","05/16/2016 05:00:03 AM","Berkeley","CA","37.875442","-122.301324",0,0,0,0,0,0,0,0,0,0
"FA0001598","MUSASHI CORP. C/O TOKYO FISH MARKET","1222 SAN PABLO AVE","02/04/2016","05/16/2016 05:00:03 AM","Berkeley","CA","37.850666","-122.285414",0,1,0,0,0,0,0,1,0,0
"FA0000008","GALLEGOS MEXICAN FOOD","2200 SAN PABLO AVE","03/10/2016","05/16/2016 05:00:02 AM","Berkeley","CA","37.866231","-122.291299",0,0,0,0,0,0,0,0,0,0
"FA0000538","MUDRACKERS","2801 TELEGRAPH AVE","10/20/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.859481","-122.25918",0,0,0,0,0,0,0,0,0,0
"FA0001417","PIPELINE CAFE","2131 DURANT AVE","06/23/2015","05/16/2016 05:00:03 AM","Berkeley","CA","37.866846","-122.266434",0,0,0,0,0,0,0,0,0,0
"FA0000089","THREE STONE HEARTH COMM. KITCHEN","1581 UNIVERSITY AVE","01/27/2016","05/16/2016 05:00:02 AM","Berkeley","CA","37.870631","-122.280653",0,0,0,0,0,0,0,0,0,0
"FA0000662","WATERSIDE WORKSHOPS CAFE","84 BOLIVAR DR","11/20/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.865718","-122.302106",0,0,0,0,0,0,0,0,0,0
"FA0001053","BERKELEY BOWL WEST #6-MEZZ KITCHEN","920 HEINZ AVE","08/27/2015","05/16/2016 05:00:03 AM","Berkeley","CA","37.853824","-122.290222",0,0,0,0,0,0,0,0,0,0
"FA0000568","SEABREEZE MARKET & DELI","598 UNIVERSITY AVE","12/02/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.866344","-122.305355",0,0,0,0,0,0,0,0,0,0
"FA0001646","JAMBA JUICE","2514 BANCROFT WAY","","05/16/2016 05:00:03 AM","Berkeley","CA","37.868774","-122.258716",0,0,0,0,0,0,0,0,0,0
"FA0000175","LA PALMITA","1335 SAN PABLO AVE","03/23/2016","05/16/2016 05:00:02 AM","Berkeley","CA","37.87951","-122.295434",0,0,0,0,0,0,0,0,0,0
"FA0000260","BERKELEY PRODUCE CENTER","1500 SHATTUCK AVE","08/27/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.880227","-122.26936",0,0,0,0,0,0,0,0,0,0
"FA0000793","LIK LIQUORS","2495 SACRAMENTO ST","04/20/2015","05/16/2016 05:00:03 AM","Berkeley","CA","37.862346","-122.28105",0,0,0,0,0,0,0,0,0,0
"FA0000056","THE JUPITER","2181 SHATTUCK AVE","01/20/2016","05/16/2016 05:00:02 AM","Berkeley","CA","37.869832","-122.267846",0,1,0,0,0,0,0,0,0,0
"FA0000252","SUSHI CALIFORNIA","2033 M L KING JR WY","07/08/2015","05/16/2016 05:00:02 AM","Berkeley","CA","","",0,0,0,0,0,0,0,0,0,0
"FA0001644","NEIGHBORS MARKET","1343 MLK JR WAY","","05/16/2016 05:00:03 AM","Berkeley","CA","","",0,0,0,0,0,0,0,0,0,0
"FA0000124","BERKELEY FARMERS MARKET","0 FARMERS MKT - SHATTUCK AVE","03/31/2016","05/16/2016 05:00:02 AM","Berkeley","CA","","",0,0,0,0,0,0,0,0,0,0
"FA0000814","BERKELEY FARMERS MARKET","0 ADELINE ST","09/09/2014","05/16/2016 05:00:03 AM","Berkeley","CA","","",0,0,0,0,0,0,0,0,0,0
"FA0000481","ASHBY SUPERMARKET 1099/1643","2948 M L KING JR WY","10/01/2015","05/16/2016 05:00:02 AM","Berkeley","CA","","",0,0,0,0,0,0,0,0,0,0
"FA0000208","XTRA OIL CO/CHEVRON/THE ALAM","1201 THE","11/28/2012","05/16/2016 05:00:02 AM","Berkeley","CA","","",0,0,0,0,0,0,0,0,0,0
"FA0000193","FAT APPLE'S INC.","1346 M L KING JR WY","10/22/2015","05/16/2016 05:00:02 AM","Berkeley","CA","","",0,0,0,0,0,0,0,0,0,0
"FA0001576","BEN & LILY CAFE","2080 MLK JR WAY","03/17/2016","05/16/2016 05:00:03 AM","Berkeley","CA","","",0,0,0,0,0,0,0,0,0,0
"FA0000484","NINO'S","1916 M L KING JR WY","01/29/2016","05/16/2016 05:00:02 AM","Berkeley","CA","","",0,1,0,0,0,0,0,1,0,0
"FA0000087","#1 GAS  1099/1616","1900 M L KING JR WY","08/24/2015","05/16/2016 05:00:02 AM","Berkeley","CA","","",0,0,0,0,0,0,0,0,0,0
"FA0001000","CITY LEES MARKET  1099/1615","2700 M L KING JR WAY","12/07/2015","05/16/2016 05:00:03 AM","Berkeley","CA","","",0,0,0,0,0,0,0,0,0,0
"FA0001521","SAN FRANCISCO CREPE COMPANY","2125 UNIVERSITY AVE","03/04/2016","05/16/2016 05:00:03 AM","Berkeley","CA","37.87232","-122.267358",0,0,0,0,0,0,0,0,0,0
"FA0001108","UNIVERSITY LUTHERAN CHAPEL OF BERKELEY","2425 COLLEGE AVE","03/16/2016","05/16/2016 05:00:03 AM","Berkeley","CA","37.866706","-122.25411",0,0,0,0,0,0,0,0,0,0
"FA0001482","FRANKLIN BROS. MARKET","901 BANCROFT WAY","12/02/2015","05/16/2016 05:00:03 AM","Berkeley","CA","37.863763","-122.29503",0,0,0,0,0,0,0,0,0,0
"FA0000372","SCONEHENGE BAKERY CAFE","2787 SHATTUCK AVE","05/04/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.858979","-122.266955",0,0,0,0,0,0,0,0,0,0
"FA0000253","CAFE RIO","2146 CENTER ST","02/05/2015","05/16/2016 05:00:02 AM","Berkeley","CA","37.870498","-122.266662",0,0,0,0,0,0,0,0,0,0
"FA0000183","ESPRESSO ROMA","1549 HOPKINS ST","01/07/2016","05/16/2016 05:00:02 AM","Berkeley","CA","37.881532","-122.282225",0,1,0,0,0,0,0,0,0,0
